File: 10_5_20120000.raw
857.741	4.94824		858	4	858	5.03797
969.045	152.955		969.5	152.5	969.5	152.32
862	357.5		861.5	357.5	861.5	357.22
2066	371		2066	370	2066	371.312
1091.63	432.478		1092	432	1092	432.386
1647.5	441.5		1647.5	441.5	1647.5	442.199
2035.12	767.559		2035	767	2035	767.7
1673.97	884.677		1674	884	1674	884.259
1848.5	913		1848.5	911.5	1848.5	913.603
9	1497		8.5	1497.5	8.5	1497.35
2196.44	1655.77		2196	1656	2196	1656.37
2374	1939.5		2374	1938	2374	1938.86

File: 10_5_20120001.raw
860.5	12		860.5	12.5	860.5	11.5097
972.5	157.5		973.5	157.5	973.5	156.165
867.045	363.045		866.5	363.5	866.5	363.158
2071	371.5		2071	371	2071	372.273
1096.6	437.4		1097	436	1097	436.545
2042	768.8		2042	768	2042	768.503
1681	886		1681	886	1681	886.752
1854.12	914.5		1854	913	1854	914.908
19	1505		19	1504	19	1505.72
2206.35	1657.53		2206.5	1656.5	2206.5	1656.86
2386	1942.5		2386	1938	2386	1940.56

File: 10_5_20120002.raw
865.5	19		865	20	865	18.7626
978.5	165.5		978	166	978	165.598
2076	372		2076	371	2076	372.387
872.5	370.5		872.5	370.5	872.5	370.731
1102.5	443.5		1102.5	443.5	1102.5	442.924
2050.17	770.167		2050	769	2050	770.091
1863	918		1862.5	918.5	1862.5	917.738
31.0909	1517.05		31	1517	31	1517.84
2218.5	1657.9		2218.5	1658.5	2218.5	1657.75
2399.5	1940.5		2399.5	1938.5	2399.5	1940.26

File: 10_5_20120003.raw
980.5	167.7		980	169	980	167.96
2078.32	372.955		2078	373	2078	373.404
874.136	373.045		874.5	373.5	874.5	372.294
1104.83	445.167		1104.5	445.5	1104.5	445.324
1658.5	447.5		1658.5	448.5	1658.5	447.778
2052.5	770		2052.5	769.5	2052.5	770.732
1864.94	919.056		1865	917	1865	918.89
2222.81	1659.54		2223	1660	2223	1658.83
2404	1941		2404	1939	2404	1940.92

File: 10_5_20120004.raw
982.5	170.5		983	170	983	170.852
877	376		876.5	376.5	876.5	375.586
1107.06	448.056		1106	449	1106	448.537
2055	770		2055	769	2055	771.087
1869.2	919.278		1869	918	1869	918.992
42	1524		42	1521	42	1523.16
2227.73	1659.24		2228	1660	2228	1658.44

File: 10_5_20120005.raw
869	28		869	29	869	27.536
983.23	173.514		983.5	172.5	983.5	173.385
878	379.5		878.5	380.5	878.5	378.95
1109	451		1109	448	1109	450.464
2058.5	771.5		2058.5	770.5	2058.5	771.591
1872.89	920.63		1872.5	919.5	1872.5	920.848
49.5	1527.5		49	1528	49	1527.59
44.5	1527.5		44	1530	44	1527.3
2233.49	1659.87		2234	1660	2234	1658.52
2414.5	1940.5		2414.5	1939.5	2414.5	1941.59

File: 10_5_20120006.raw
870.75	31.75		871.5	32.5	871.5	31.4151
987.136	177.455		987.5	176.5	987.5	176.917
2086.23	373.773		2086	374	2086	375.086
881	382		882	383	882	382.691
1111.96	452.338		1112	453	1112	453.171
2062.67	772		2062.5	771.5	2062.5	772.485
2253	827.5		2253	825	2253	827.524
1876.5	921.5		1876.5	920.5	1876.5	922.106
51.7414	1533.09		51.5	1531.5	51.5	1533.29
2239.5	1660.5		2239.5	1659.5	2239.5	1659.8

File: 10_5_20120007.raw
873.778	35.9166		874.5	37.5	874.5	35.7595
988.5	179.6		988	181	988	179.459
885	387		885.5	386.5	885.5	386.53
1116	456.333		1116	455	1116	456.444
2065.61	772.389		2065.5	772.5	2065.5	773.251
1882	923		1882	922	1882	922.895
58.5	1538		58.5	1537.5	58.5	1538.98
2245	1662		2245	1662	2245	1660.9
2023.28	1701.28		2023.5	1701.5	2023.5	1700.8

File: 10_5_20120008.raw
875.5	38		874.5	39.5	874.5	37.74
990.056	182.685		990	182	990	183.499
2090.5	374.5		2090.5	374.5	2090.5	375.1
888.375	388.25		887	389	887	388.77
1117.73	459.455		1118	459	1118	459.339
2069	773		2069	773	2069	773.236
1884	924.5		1884	921	1884	923.888
62.5	1543.5		62.5	1542.5	62.5	1544
2251	1661.35		2251	1661	2251	1660.88

File: 10_5_20120009.raw
878	44		878	46	878	43.3407
993	187.5		993.5	187.5	993.5	187.876
2094.5	375		2094.5	374.5	2094.5	376.184
891	394		891	394	891	393.553
1121	463		1121.5	463.5	1121.5	463.085
2075.43	774.286		2075.5	772.5	2075.5	774.459
1890.66	924.565		1890.5	924.5	1890.5	924.426
70	1549.5		70	1548	70	1549.43
2258.95	1662.6		2259	1662	2259	1662.09

File: 10_5_20120010.raw
880	47.75		880	49	880	47.4754
995.071	190.643		995.5	191.5	995.5	190.115
893.455	397.773		893	398	893	397.433
1124.33	465.667		1124	465	1124	465.699
2078.44	775		2078.5	773.5	2078.5	774.768
2270	828		2270	825	2270	828.345
1718	900.333		1718	900	1718	900.643
75.5	1552.5		76	1553	76	1553.53
2264.5	1662.9		2265	1662	2265	1661.72
2042.93	1703.64		2043	1704	2043	1703.77

File: 10_5_20120011.raw
883.5	52.5		883	54	883	52.5418
997.889	195.167		998	194	998	194.631
2100.5	376.5		2100.5	376.5	2100.5	377.317
897.879	403.293		898	402	898	402.415
1683.23	459.773		1683	460	1683	461.078
1129.51	469.878		1130	469	1130	469.664
2083	775		2083	774	2083	775.105
1899.17	927.5		1899	927	1899	928.372
2273.61	1662.85		2273.5	1662.5	2273.5	1663.53

File: 10_5_20120012.raw
884.5	56		885	57	885	55.6584
1001.21	198.786		1001.5	199.5	1001.5	198.797
2104	377.5		2104	376	2104	377.674
900.5	406		900.5	406.5	900.5	405.745
1131.21	472.929		1131	472	1131	472.458
2086.89	775.571		2087	774	2087	775.719
1903	929.5		1903.5	929.5	1903.5	928.867
2280	1664.5		2280	1664	2280	1663.3

File: 10_5_20120013.raw
886.5	59		886.5	60.5	886.5	58.6769
1002.21	200.786		1002	201	1002	201.121
902.25	407.75		901.5	408.5	901.5	407.427
1133.93	475		1134.5	474.5	1134.5	474.779
2089	776.5		2089	776	2089	776.155
2282	829		2282	827	2282	828.794
1730.5	904.5		1730.5	903.5	1730.5	904.816
1906.5	929.5		1906.5	926.5	1906.5	929.019
95.5	1568		95.5	1566.5	95.5	1567.77
2282.78	1664.33		2283	1664	2283	1664.15

File: 10_5_20120014.raw
888.5	64		887.5	65.5	887.5	63.6334
1004.81	204.323		1005.5	204.5	1005.5	204.251
904.5	412.5		904.5	412.5	904.5	412.406
1690.5	464.5		1690.5	464.5	1690.5	464.817
1137	478		1137.5	478.5	1137.5	477.94
2094.44	777		2094.5	775.5	2094.5	776.801
1735	906.5		1735	906	1735	906.745
1910.5	930		1910.5	928.5	1910.5	929.933
2291	1664.5		2291	1665	2291	1663.99

File: 10_5_20120015.raw
889.5	66		890	68	890	65.2613
1007.5	209		1007.5	207.5	1007.5	208.594
2113	378.5		2113	378	2113	379
908.14	415.26		908	415	908	415.457
1139.92	480.917		1140	480	1140	480.336
2097	776.875		2097	775	2097	777.224
2291	828		2291	827	2291	828.574
1739	908.5		1739	906	1739	907.752
1915.07	930.643		1915	931	1915	931.45
114.5	1577.64		114.5	1578.5	114.5	1577.84
107	1580		107	1579	107	1580.73
2296.97	1665.68		2296.5	1666.5	2296.5	1664.76

File: 10_5_20120016.raw
896.5	76		896.5	77.5	896.5	74.9465
1013.05	216.318		1013	216	1013	216.541
2118	378.5		2118.5	378.5	2118.5	379.062
915	424.75		915.5	424.5	915.5	424.566
1146.65	487.706		1146.5	488.5	1146.5	487.789
2106.5	779		2106.5	777.5	2106.5	779.155
1749	911.5		1749	911	1749	911.619
